"","Actual","Predicted"
"1",1,0.906894069178655
"2",1,0.883701788917627
"3",1,0.424980076168791
"4",1,0.588281761602884
"5",1,0.51918506169849
"6",1,0.147829116683856
"7",1,0.549055756960188
"8",1,0.62934439850906
"9",1,0.813420498290539
"10",1,0.312438935694622
"11",1,0.844343059522569
"12",1,0.0996431339534052
"13",1,0.253625946921629
"14",1,0.28680667700979
"15",1,0.117867551230593
"16",1,0.242169755053142
"17",1,0.363158942035619
"18",1,0.783375077934065
"19",1,0.702099720417997
"20",0,0.233692827037101
"21",0,0.202726908406247
"22",0,0.383814872722069
"23",0,0.378294750157177
"24",0,0.249955263108201
"25",0,0.778414719254773
"26",0,0.511585358502332
"27",0,0.591442276131145
"28",0,0.320589642246573
"29",0,0.193012129275864
"30",0,0.296545868016742
"31",0,0.349844481160978
"32",0,0.272383164475873
"33",0,0.100343083602884
"34",0,0.377800332814042
"35",0,0.124592450567874
"36",0,0.299679673643412
"37",0,0.237961472480808
"38",0,0.148598825042402
"39",0,0.47977464687237
"40",0,0.18368977863076
"41",0,0.119926804631433
"42",1,0.689469388677605
"43",1,0.922224354322366
"44",1,0.824209348785353
"45",1,0.24853896688169
"46",1,0.920114249141
"47",1,0.743284522833656
"48",1,0.627684579455843
"49",1,0.369034914500623
"50",1,0.636650591970097
"51",1,0.812886155747769
"52",1,0.703601119247127
"53",1,0.479904577647294
"54",1,0.71736709040359
"55",1,0.674604176409562
"56",1,0.672712273840396
"57",1,0.598053433963837
"58",1,0.71457059340906
"59",1,0.531466400697093
"60",1,0.494748068012477
"61",1,0.905692196857665
"62",1,0.793125981294798
"63",1,0.735074245908007
"64",1,0.733992277656649
"65",1,0.8515928091197
"66",1,0.543245524942127
"67",1,0.843312455939198
"68",1,0.483250605185892
"69",1,0.587069756148856
"70",1,0.500486503844115
"71",1,0.545876815188691
"72",1,0.729574600971631
"73",1,0.11596738755093
"74",1,0.66002927253414
"75",1,0.556413045744417
"76",1,0.11123569985361
"77",1,0.467793367051243
"78",1,0.896410812310077
"79",1,0.462461173325743
